customer id,gender,first,last,age,job type,occupation,martial status,email,postal,province,city,income,em eligible,dm eligible,lang,segment,treatment,channel
100049,Female,Marlie,Zamarripa,36,fulltime,4821 Rail transportation,Separate,Marlie_Zamarripa21@gmail.com,R1Q 4K3,PE,West Jevonstad,42802.0,True,True,E,21A,21AT,DM
100061,Female,Pietro,Zabala,51,fulltime,6230 Nursing and residential care facilities (6231 to 6239),Divorced,Pietro_Zabala21@gmail.com,N6A 9S7,SK,Destinyfort,81900.5,True,True,E,21A,21AT,DM
100091,Female,Kameryn,Yip,42,fulltime,Retired,Married,Kameryn_Yip21@gmail.com,E1D 5J0,NT,Port Leonoraville,427118.7,True,True,E,21A,21AT,DM
100093,Female,Yeray,Yip,43,fulltime,5411 Legal services,Married,Yeray_Yip@yahoo.com,X9R 7T9,NT,North Marlonshire,93360.0,True,True,F,21A,21AT,DM
100098,Male,Zayd,Yip,53,fulltime,"5413 Architectural, engineering and related services",Married,Zayd.Yip77@hotmail.com,J5R 1D7,BC,Champlinmouth,73146.9,True,True,E,21A,21AT,DM
100118,Male,Janessa,Yanes,45,fulltime,6111 Elementary and secondary schools,Single,Janessa_Yanes21@gmail.com,Y8V 9M9,SK,Mikelbury,87935.1,True,True,E,21A,21AT,DM
100143,Male,Laurynn,Worsham,46,fulltime,Retired,Married,Laurynn.Worsham77@hotmail.com,N3M 4O5,MB,New Sylvan,423319.8,True,True,E,21A,21AT,DM
100149,Female,Lenox,Worsham,53,fulltime,4441 Building material and supplies dealers,Married,Lenox.Worsham77@hotmail.com,H9F 4O1,SK,East Michelefurt,124481.5,True,True,E,21A,21AT,DM
100151,Male,Caraline,Works,40,fulltime,2111 Oil and gas extraction,Married,Caraline_Works21@gmail.com,X2V 4T7,PE,East Clemensville,49739.0,True,True,E,21A,21AT,DM
100157,Male,Charlie,Works,38,fulltime,"4172 Construction, forestry, mining, and industrial machinery, equip",Divorced,Charlie_Works21@gmail.com,B5C 6R4,YT,South Uriah,124488.0,True,True,E,21A,21AT,DM
100203,Male,Alahni,Wolf,42,fulltime,Retired,Married,Alahni.Wolf77@hotmail.com,A4H 1L6,NB,Lake Salvatorefort,60552.8,True,True,E,21A,21AT,DM
100213,Male,Buck,Witt,26,fulltime,,Single,Buck_Witt@yahoo.com,H1X 3V5,YT,West Gladyceport,400000.0,True,True,F,21A,21AT,DM
100217,Other,Jayline,Witt,52,fulltime,6241 Individual and family services,Married,Jayline_Witt21@gmail.com,E7W 9V6,NB,Townefort,122931.6,True,True,E,21A,21AT,DM
