customer id,gender,first,last,age,job type,occupation,martial status,email,postal,province,city,income,em eligible,dm eligible,lang,segment,treatment,channel
100004,Other,Leighanna,Zink,38,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",Married,Leighanna_Zink21@gmail.com,R0O 2U1,NB,South Laura,44709.0,False,True,E,22,22T,DM_EM
100005,Male,Emery,Zink,38,fulltime,4855 Charter bus industry,Single,Emery.Zink77@hotmail.com,P4G 6O0,NU,Jaymehaven,421496.0,True,False,E,22,22T,DM_EM
100020,Female,Jewell,Zeller,43,fulltime,6111 Elementary and secondary schools,Married,Jewell.Zeller77@hotmail.com,C9Y 6Q6,NB,Ratketown,431453.0,False,False,E,22,22T,DM_EM
100030,Female,Brenna,Zelaya,47,fulltime,Retired,Widowed,Brenna_Zelaya@yahoo.com,N8O 3B9,PE,Port Grant,49325.5,True,False,F,22,22T,DM_EM
100035,Male,Katheryne,Zapata,38,fulltime,3364 Aerospace product and parts manufacturing,Separate,Katheryne.Zapata77@hotmail.com,T3B 2J2,MB,Lake Rose,119147.0,True,False,E,22,22T,DM_EM
100036,Male,Jurni,Zapata,40,fulltime,,Single,Jurni_Zapata@yahoo.com,M6T 2G8,NT,New Tia,400000.0,False,True,F,22,22T,DM_EM
100045,Female,Alliana,Zamarripa,33,fulltime,5241 Insurance carriers,Single,Alliana_Zamarripa@yahoo.com,J4O 6T2,QC,East Margret,420971.83,True,False,F,12,12T,DM_EM
100055,Other,Ellanor,Zack,48,fulltime,3261 Plastic product manufacturing,Single,Ellanor_Zack21@gmail.com,C9R 2N1,BC,New Aurelia,231327.8,True,False,E,22,22T,DM_EM
100072,Male,Kriti,Youngblood,34,fulltime,8111 Automotive repair and maintenance,Single,Kriti_Youngblood@yahoo.com,T4M 4O8,YT,Port Hobartchester,422991.76,False,True,F,22,22T,DM_EM
100085,Male,Alia,Yoon,37,fulltime,4841 General freight trucking,Single,Alia_Yoon21@gmail.com,A8N 2S7,NT,Bransonbury,50631.0,True,False,E,22,22T,DM_EM
100090,Male,Tesla,Yoon,52,fulltime,6220 Hospitals (6221 to 6223),Single,Tesla_Yoon@yahoo.com,A7W 4H1,AB,Lake London,242552.2,True,False,F,22,22T,DM_EM
100100,Male,Berkleigh,Yip,47,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",Single,Berkleigh_Yip21@gmail.com,C2W 9V6,ON,Ratkeshire,82915.8,False,False,E,22,22T,DM_EM
100105,Female,Joella,Ybarra,33,fulltime,3353 Electrical equipment manufacturing,Single,Joella_Ybarra@yahoo.com,J8B 6V6,YT,New Sarahton,420614.77,True,False,F,22,22T,DM_EM
100120,Female,Afnan,Yanes,33,fulltime,2383 Building finishing contractors,Single,Afnan_Yanes@yahoo.com,B8S 0I2,AB,Breitenbergchester,52752.48,False,False,F,22,22T,DM_EM
