customer id,gender,first,last,age,job type,occupation,martial status,email,postal,province,city,income,em eligible,dm eligible,lang,segment,treatment,channel
100031,Female,Gilberto,Zapata,41,fulltime,Retired,Single,Gilberto_Zapata21@gmail.com,P6S 7I8,ON,Lake Lindseyfort,431535.7,True,True,E,21B,21BT,EM
100053,Male,Ysabella,Zack,35,fulltime,6111 Elementary and secondary schools,Married,Ysabella.Zack77@hotmail.com,H6S 0G4,YT,South Lew,44012.0,True,True,E,21B,21BT,EM
100078,Female,Isabela,Youngblood,45,fulltime,Retired,Married,Isabela_Youngblood@yahoo.com,T9Z 1E8,QC,Lake Schuyler,424842.3,True,True,F,11B,11BT,EM
100189,Female,Truth,Wolverton,37,fulltime,6220 Hospitals (6221 to 6223),Divorced,Truth_Wolverton@yahoo.com,G1F 8B5,NT,New Catherineport,421187.0,True,True,F,21B,21BT,EM
100193,Female,Ozias,Wolfson,50,fulltime,"8139 Business, professional, labour and other membership organizatio",Married,Ozias_Wolfson21@gmail.com,Y7U 9R9,NL,New Lyla,159838.8,True,True,E,21B,21BT,EM
100214,Male,Ashton,Witt,43,fulltime,Retired,Married,Ashton_Witt21@gmail.com,Y0E 8J4,NS,South Jazlyn,424280.9,True,True,E,21B,21BT,EM
100223,Female,Fernanda,Witmer,54,fulltime,6113 Universities,Married,Fernanda_Witmer21@gmail.com,V0O 3X3,NB,Haleyfurt,69486.45,True,True,E,21B,21BT,EM
100262,Female,Eliot,Wingate,54,fulltime,5613 Employment services,Married,Eliot_Wingate21@gmail.com,N4S 4S8,NU,West Lora,52724.05,True,True,E,21B,21BT,EM
100287,Female,Roxie,Williamson,54,fulltime,4131 Food wholesaler-distributors,Single,Roxie.Williamson77@hotmail.com,S8X 2K9,YT,Lake Aniya,119689.7,True,True,E,21B,21BT,EM
100357,Male,Kamora,Whiting,49,fulltime,Retired,Widowed,Kamora_Whiting@yahoo.com,C6I 2W5,BC,Lake Kasandraborou,132619.9,True,True,F,21B,21BT,EM
100417,Male,Nicolai,Wharton,47,fulltime,Retired,Married,Nicolai_Wharton@yahoo.com,B9Z 2W2,NL,East Madelinefurt,423795.8,True,True,F,21B,21BT,EM
100427,Male,Amariya,Wetzel,34,fulltime,6111 Elementary and secondary schools,Married,Amariya_Wetzel21@gmail.com,L7H 0O0,PE,East Gonzalo,41780.97,True,True,E,21B,21BT,EM
100539,Other,Acelyn,Watanabe,50,fulltime,6116 Other school and instruction,Married,Acelyn.Watanabe77@hotmail.com,B9D 0L4,NL,Brianaview,60414.2,True,True,E,21B,21BT,EM
100574,Female,Vail,Walther,46,fulltime,5415 Computer systems design and related services,Divorced,Vail_Walther21@gmail.com,H7L 1X1,ON,South Marilie,51668.1,True,True,E,21B,21BT,EM
100599,Male,Aidan,Walley,28,fulltime,,Single,Aidan.Walley77@hotmail.com,J3P 8C1,AB,East Torey,400000.0,True,True,E,21B,21BT,EM
100647,Male,Kenlie,Waldman,34,fulltime,5616 Investigation and security services,Single,Kenlie.Waldman77@hotmail.com,J1N 8Y2,QC,New Ophelia,428365.81,True,True,E,11B,11BT,EM
100653,Female,Janaya,Wahl,42,fulltime,Retired,Married,Janaya.Wahl77@hotmail.com,B7B 8T6,NU,New Sim,429510.6,True,True,E,21B,21BT,EM
100658,Male,Golda,Wahl,31,fulltime,5415 Computer systems design and related services,Single,Golda_Wahl21@gmail.com,V0Q 9I8,YT,Rippinport,58350.6,True,True,E,21B,21BT,EM
100674,Female,Gabrielle,Vuong,44,fulltime,6220 Hospitals (6221 to 6223),Divorced,Gabrielle.Vuong77@hotmail.com,H2Z 8J9,NU,Johnmouth,432951.6,True,True,E,21B,21BT,EM
