customer id,gender,first,last,age,job type,occupation,martial status,email,postal,province,city,income,em eligible,dm eligible,lang,segment,treatment,channel
100021,Male,Chanse,Zelaya,29,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",Single,Chanse_Zelaya@yahoo.com,L0S 4R5,NL,New Alizaland,415948.57,True,True,F,41,41T,EM_Banner
100023,Male,Riddhi,Zelaya,42,parttime,6230 Nursing and residential care facilities (6231 to 6239),Married,Riddhi.Zelaya77@hotmail.com,L5G 8Y2,MB,Manleyside,419541.0,True,True,E,41,41T,EM_Banner
100025,Female,Jullian,Zelaya,53,parttime,"4511 Sporting goods, hobby and musical instrument stores",Separate,Jullian_Zelaya21@gmail.com,J0Y 9G9,QC,Felipemouth,426302.1,True,False,E,31,31T,EM_Banner
100028,Female,Raylon,Zelaya,31,parttime,6113 Universities,Single,Raylon_Zelaya21@gmail.com,G5G 1L6,BC,West Malcolm,403928.98,False,True,E,41,41T,EM_Banner
100034,Male,Sydni,Zapata,28,parttime,"5419 Other professional, scientific and technical services",Single,Sydni_Zapata21@gmail.com,C1H 7H0,BC,Dickensshire,404521.66,True,True,E,41,41T,EM_Banner
100041,Other,Zackery,Zamarripa,27,parttime,"9130 Local, municipal and regional public administration (9131 and 9",Single,Zackery.Zamarripa77@hotmail.com,Y5X 7S3,NL,Emilyfurt,406066.72,True,True,E,41,41T,EM_Banner
100042,Male,Cailee,Zamarripa,37,parttime,7222 Limited-service restaurants,Single,Cailee_Zamarripa@yahoo.com,E7C 1U2,ON,West Nyasia,417253.0,True,True,F,41,41T,EM_Banner
100058,Male,Araiya,Zack,39,parttime,"5418 Advertising, public relations, and related services",Married,Araiya_Zack21@gmail.com,T3F 2R9,AB,Skylarhaven,419411.0,True,True,E,41,41T,EM_Banner
100074,Male,Khaliah,Youngblood,34,parttime,3344 Semiconductor and other electronic component manufacturing,Single,Khaliah.Youngblood77@hotmail.com,X4L 4S8,YT,Raeport,419559.1,True,True,E,41,41T,EM_Banner
100082,Other,Kyiah,Yoon,40,parttime,6220 Hospitals (6221 to 6223),Married,Kyiah_Yoon21@gmail.com,E1Y 1S8,AB,Reneton,414913.0,True,True,E,41,41T,EM_Banner
100113,Female,Britain,Yanes,31,parttime,"5413 Architectural, engineering and related services",Single,Britain.Yanes77@hotmail.com,Y5D 9A0,YT,East Lafayette,409599.37,True,True,E,41,41T,EM_Banner
100116,Male,Anyiah,Yanes,26,parttime,4529 Other general merchandise stores,Single,Anyiah.Yanes77@hotmail.com,K0C 5U4,YT,Lennaland,414029.62,False,True,E,41,41T,EM_Banner
100119,Male,Quenton,Yanes,33,parttime,5239 Other financial investment activities,Single,Quenton.Yanes77@hotmail.com,V4B 3N4,QC,Port Brannonmouth,410248.81,True,True,E,31,31T,EM_Banner
100125,Female,Colden,Wynne,28,parttime,6113 Universities,Single,Colden.Wynne77@hotmail.com,C5L 8A8,BC,East Jeanne,415086.94,True,False,E,41,41T,EM_Banner
100156,Male,Santana,Works,29,parttime,"9130 Local, municipal and regional public administration (9131 and 9",Single,Santana_Works@yahoo.com,V1I 2F1,NB,Shanahanton,408185.98,False,True,F,41,41T,EM_Banner
100167,Male,Rigo,Workman,33,parttime,2122 Metal ore mining,Single,Rigo.Workman77@hotmail.com,G5J 8H4,MB,Port Jermaineview,412589.5,True,True,E,41,41T,EM_Banner
100182,Female,Kelia,Wolverton,26,parttime,5311 Lessors of real estate,Single,Kelia.Wolverton77@hotmail.com,T3F 4W3,NT,Ebertstad,407630.92,True,True,E,41,41T,EM_Banner
100186,Female,Cannon,Wolverton,31,parttime,"5242 Agencies, brokerages and other insurance related activities",Single,Cannon_Wolverton@yahoo.com,E3M 1B4,NB,Fisherstad,405862.12,True,True,F,41,41T,EM_Banner
100195,Female,Mattison,Wolfson,33,parttime,3363 Motor vehicle parts manufacturing,Single,Mattison_Wolfson@yahoo.com,E1E 7O0,NL,Sadieside,404715.04,True,False,F,41,41T,EM_Banner
100208,Other,Yessica,Wolf,32,parttime,6111 Elementary and secondary schools,Single,Yessica_Wolf21@gmail.com,T0Z 7U6,SK,Lake Hadley,407935.51,False,True,E,41,41T,EM_Banner
